#name,ra,dec,mag
2017han,06:11:08.45,-03:25:18.05,18.5
2017haq,06:38:50.58,+01:59:19.72,17.4
2017haa,16:58:05.44,+09:19:42.17,18.1
2017had,16:51:01.27,+10:33:11.12,17.15
2017gzs,16:12:12.24,+15:12:33.66,17.79
2017har,07:41:45.58,+16:13:06.10,18.38
2017ham,15:56:46.77,+27:12:48.38,18.74
2017hai,08:56:13.10,+32:30:35.39,18.99
2017gzx,14:42:51.24,+32:59:50.82,17.44
2017gzy,14:31:41.68,+35:12:54.76,18.75
2017gzu,09:04:44.02,+37:13:41.02,18.62
2017haj,10:28:42.86,+39:50:21.41,18.36
2017hal,11:13:56.49,+41:44:51.47,18.94
2017hak,11:50:21.97,+42:26:08.34,18.6
2017gzo,23:53:52.20,+07:58:19.00,17.8
2017haf,23:56:21.82,+32:27:24.08,16
